district_name,D,R,Oth,total_voters,D_pct,R_pct,Oth_pct,DvR,DvR_pct,avg_age_years,avg_tenure_years,avg_age_years_D,avg_age_years_R,avg_age_years_Oth,avg_tenure_years_D,avg_tenure_years_R,avg_tenure_years_Oth
BENSALEM TWP SCHOOL,18033,16717,7209,41959,42.98,39.84,17.18,1316,3.14,51.9,19.0,51.8,55.0,45.0,19.0,21.5,13.0
BRISTOL BORO SCHOOL,4220,1905,1104,7229,58.38,26.35,15.27,2315,32.02,50.6,21.1,52.7,50.4,42.9,23.4,20.3,13.7
BRISTOL TWP SCHOOL,17845,12514,6734,37093,48.11,33.74,18.15,5331,14.37,50.5,19.3,51.8,52.4,43.6,20.5,20.5,13.7
CENTENNIAL ,14182,17324,5615,37121,38.2,46.67,15.13,-3142,-8.46,55.5,22.0,56.6,57.2,47.8,22.8,23.4,15.4
CENTRL BUCKS ,36701,40241,17799,94741,38.74,42.47,18.79,-3540,-3.74,52.6,20.4,52.3,55.0,47.9,20.4,22.6,15.5
COUNCIL ROCK ,21854,26907,10575,59336,36.83,45.35,17.82,-5053,-8.52,53.1,20.8,52.8,55.2,48.5,21.2,22.7,15.6
MORRISVILLE ,3247,1705,1343,6295,51.58,27.08,21.33,1542,24.5,50.2,17.8,50.7,53.1,45.2,18.3,20.4,13.2
NESHAMINY ,21498,22264,9032,52794,40.72,42.17,17.11,-766,-1.45,52.8,21.2,53.6,54.3,47.2,22.1,22.7,15.3
NEW HOPE,4785,3286,2193,10264,46.62,32.01,21.37,1499,14.6,55.5,18.5,55.5,57.8,52.0,18.8,21.2,14.0
PALISADES ,4143,6431,2403,12977,31.93,49.56,18.52,-2288,-17.63,55.8,21.7,57.0,56.8,50.7,22.2,23.3,16.6
PENNRIDGE,12705,19751,7098,39554,32.12,49.93,17.95,-7046,-17.81,51.9,20.8,52.0,53.7,46.8,21.0,22.4,16.0
PENNSBURY ,24990,19206,11155,55351,45.15,34.7,20.15,5784,10.45,51.7,20.0,52.0,53.8,47.5,20.7,22.0,15.0
QUAKERTOWN ,8874,13279,5049,27202,32.62,48.82,18.56,-4405,-16.19,51.7,20.0,51.8,53.5,46.8,20.3,21.6,15.5
SOUDERTON,566,806,287,1659,34.12,48.58,17.3,-240,-14.47,58.3,21.6,59.0,60.4,51.1,22.5,23.0,16.1
