district_name,voters,voters_with_any_eligible_election,eligible_elections,voted_elections,eligible_primaries,voted_primaries,eligible_generals,voted_generals,eligible_midterm_primaries,voted_midterm_primaries,avg_eligible_elections_per_voter,avg_voted_elections_per_voter,avg_participation_pct_per_voter,participation_pct,primary_participation_pct,general_participation_pct,midterm_primary_participation_pct,registered_current_year_D,registered_current_year_Oth,registered_current_year_R,registered_current_year_total,registration_year
BENSALEM TWP SCHOOL,41959,41480,449065,173545,221731,50654,227334,122891,36243,9691,10.7,4.14,37.27,38.65,22.84,54.06,26.74,139,104,64,307,2026
BRISTOL BORO SCHOOL,7229,7153,78646,30580,38934,10079,39712,20501,6392,1646,10.88,4.23,37.79,38.88,25.89,51.62,25.75,28,16,10,54,2026
BRISTOL TWP SCHOOL,37093,36508,394682,137019,194911,38100,199771,98919,31871,7829,10.64,3.69,33.48,34.72,19.55,49.52,24.56,173,134,84,391,2026
CENTENNIAL ,37121,36833,409179,181391,202645,57251,206534,124140,33307,11417,11.02,4.89,43.02,44.33,28.25,60.11,34.28,80,56,58,194,2026
CENTRL BUCKS ,94741,93721,1029152,491227,508665,150582,520487,340645,83281,29105,10.86,5.18,46.48,47.73,29.6,65.45,34.95,274,227,158,659,2026
COUNCIL ROCK ,59336,58860,650205,309255,321562,93422,328643,215833,52780,19293,10.96,5.21,46.4,47.56,29.05,65.67,36.55,119,91,105,315,2026
MORRISVILLE ,6295,6214,66429,24674,32783,6848,33646,17826,5343,1301,10.55,3.92,35.61,37.14,20.89,52.98,24.35,24,23,5,52,2026
NESHAMINY ,52794,52236,573712,251378,283740,75980,289972,175398,46538,15628,10.87,4.76,42.5,43.82,26.78,60.49,33.58,142,124,103,369,2026
NEW HOPE,10264,10133,109370,54027,53941,16924,55429,37103,8834,3260,10.66,5.26,48.36,49.4,31.38,66.94,36.9,42,31,15,88,2026
PALISADES ,12977,12825,142154,67206,70355,20804,71799,46402,11607,4282,10.95,5.18,46.05,47.28,29.57,64.63,36.89,39,32,31,102,2026
PENNRIDGE,39554,39187,432655,196398,214028,58997,218627,137401,35148,11827,10.94,4.97,44.1,45.39,27.57,62.85,33.65,68,105,83,256,2026
PENNSBURY ,55351,54739,597456,261044,295178,76644,302278,184400,48333,15510,10.79,4.72,42.45,43.69,25.97,61.0,32.09,195,125,85,405,2026
QUAKERTOWN ,27202,26888,294079,120826,145353,36234,148726,84592,23807,7271,10.81,4.44,39.77,41.09,24.93,56.88,30.54,77,75,55,207,2026
SOUDERTON,1659,1648,18376,7796,9096,2603,9280,5193,1501,487,11.08,4.7,41.71,42.42,28.62,55.96,32.45,4,4,1,9,2026
