municipality,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct
Bedminster township,1765,1004,3099,1173,356,1720,66.46,55.5,35.46,5868,3249,55.37
Bensalem township,18033,7209,16717,8384,1814,8015,46.49,47.95,25.16,41959,18213,43.41
Bridgeton township,323,216,457,209,76,199,64.71,43.54,35.19,996,484,48.59
Bristol borough,4220,1104,1905,2009,220,731,47.61,38.37,19.93,7229,2960,40.95
Bristol township,17845,6734,12514,7825,1216,4461,43.85,35.65,18.06,37093,13502,36.4
Buckingham township,6244,3473,7497,4112,1400,4347,65.86,57.98,40.31,17214,9859,57.27
Chalfont borough,1455,602,1358,920,193,703,63.23,51.77,32.06,3415,1816,53.18
Doylestown borough,3581,1371,2137,2364,524,1120,66.02,52.41,38.22,7089,4008,56.54
Doylestown township,5719,2655,5763,3807,1027,3293,66.57,57.14,38.68,14137,8127,57.49
Dublin borough,545,355,731,285,91,324,52.29,44.32,25.63,1631,700,42.92
Durham township,274,173,506,179,62,270,65.33,53.36,35.84,953,511,53.62
East Rockhill township,1334,823,2359,799,262,1233,59.9,52.27,31.83,4516,2294,50.8
Falls township,11077,4417,8030,5629,1079,3338,50.82,41.57,24.43,23524,10046,42.71
Haycock township,519,298,977,362,131,595,69.75,60.9,43.96,1794,1088,60.65
Hilltown township,3908,2279,6527,2331,729,3378,59.65,51.75,31.99,12714,6438,50.64
Hulmeville borough,298,143,347,173,56,162,58.05,46.69,39.16,788,391,49.62
Ivyland borough,255,94,353,142,31,183,55.69,51.84,32.98,702,356,50.71
Langhorne Manor borough,257,116,403,154,50,229,59.92,56.82,43.1,776,433,55.8
Langhorne borough,536,183,419,344,68,240,64.18,57.28,37.16,1138,652,57.29
Lower Makefield township,11999,5976,9952,7590,2327,5044,63.26,50.68,38.94,27927,14961,53.57
Lower Southampton township,5026,2407,6669,2657,591,3129,52.87,46.92,24.55,14102,6377,45.22
Middletown township,14651,5883,13802,8471,1803,6963,57.82,50.45,30.65,34336,17237,50.2
Milford township,2322,1327,4029,1375,394,1941,59.22,48.18,29.69,7678,3710,48.32
Morrisville borough,3247,1343,1705,1572,361,708,48.41,41.52,26.88,6295,2641,41.95
New Britain borough,799,374,756,522,135,399,65.33,52.78,36.1,1929,1056,54.74
New Britain township,3778,1753,4119,2347,643,2296,62.12,55.74,36.68,9650,5286,54.78
New Hope borough,1204,541,607,787,214,323,65.37,53.21,39.56,2352,1324,56.29
Newtown borough,914,389,778,636,188,496,69.58,63.75,48.33,2081,1320,63.43
Newtown township,6471,3191,6089,4111,1193,3326,63.53,54.62,37.39,15751,8630,54.79
Nockamixon township,730,483,1556,470,137,729,64.38,46.85,28.36,2769,1336,48.25
Northampton township,10827,4957,15257,6503,1646,7942,60.06,52.05,33.21,31041,16091,51.84
Penndel borough,730,300,624,358,72,303,49.04,48.56,24.0,1654,733,44.32
Perkasie borough,2542,1271,3146,1589,416,1646,62.51,52.32,32.73,6959,3651,52.46
Plumstead township,3852,2185,4965,2435,763,2705,63.21,54.48,34.92,11002,5903,53.65
Quakertown borough,2293,1271,2630,1130,265,1113,49.28,42.32,20.85,6194,2508,40.49
Richland township,3272,1863,4916,1710,466,2089,52.26,42.49,25.01,10051,4265,42.43
Richlandtown borough,269,169,404,152,56,216,56.51,53.47,33.14,842,424,50.36
Riegelsville borough,294,133,277,196,50,146,66.67,52.71,37.59,704,392,55.68
Sellersville borough,1248,634,1360,728,169,634,58.33,46.62,26.66,3242,1531,47.22
Silverdale borough,195,100,329,121,40,190,62.05,57.75,40.0,624,351,56.25
Solebury township,3581,1652,2679,2383,709,1445,66.55,53.94,42.92,7912,4537,57.34
Springfield township,1294,763,2106,792,246,1058,61.21,50.24,32.24,4163,2096,50.35
Telford borough,566,287,806,329,99,421,58.13,52.23,34.49,1659,849,51.18
Tinicum township,1228,635,1529,845,269,817,68.81,53.43,42.36,3392,1931,56.93
Trumbauersville borough,199,121,323,131,43,187,65.83,57.89,35.54,643,361,56.14
Tullytown borough,839,264,510,420,57,193,50.06,37.84,21.59,1613,670,41.54
Upper Makefield township,2768,1505,3451,1852,656,2021,66.91,58.56,43.59,7724,4529,58.64
Upper Southampton township,4063,1761,5957,2375,482,2917,58.45,48.97,27.37,11781,5774,49.01
Warminster township,9864,3760,11014,5717,1077,5333,57.96,48.42,28.64,24638,12127,49.22
Warrington township,7144,3406,8314,4220,1176,4326,59.07,52.03,34.53,18864,9722,51.54
Warwick township,4129,1980,5332,2518,701,2884,60.98,54.09,35.4,11441,6103,53.34
West Rockhill township,1168,632,2200,787,194,1191,67.38,54.14,30.7,4000,2172,54.3
Wrightstown township,874,533,1332,551,183,768,63.04,57.66,34.33,2739,1502,54.84
Yardley borough,1075,498,714,743,220,440,69.12,61.62,44.18,2287,1403,61.35
