school_district,D,R,Oth,total_voters,D_pct,R_pct,Oth_pct,DvR,DvR_pct,avg_age_years,avg_tenure_years,avg_age_years_D,avg_age_years_R,avg_age_years_Oth,avg_tenure_years_D,avg_tenure_years_R,avg_tenure_years_Oth,district_name
BENSALEM TWP SCHOOL,18033,16717,7209,41959,42.98,39.84,17.18,1316,3.14,51.9,19.0,51.8,55.0,45.0,19.0,21.5,13.0,BENSALEM TWP SCHOOL
BRISTOL BORO SCHOOL,4220,1905,1104,7229,58.38,26.35,15.27,2315,32.02,50.6,21.1,52.7,50.4,42.9,23.4,20.3,13.7,BRISTOL BORO SCHOOL
BRISTOL TWP SCHOOL,17845,12514,6734,37093,48.11,33.74,18.15,5331,14.37,50.5,19.3,51.8,52.4,43.6,20.5,20.5,13.7,BRISTOL TWP SCHOOL
CENTENNIAL 1,4063,5957,1761,11781,34.49,50.56,14.95,-1894,-16.08,54.9,22.1,55.7,56.6,47.2,22.9,23.5,15.7,CENTENNIAL 
CENTENNIAL 2,5719,5993,2073,13785,41.49,43.47,15.04,-274,-1.99,57.8,22.0,59.1,59.3,50.0,22.9,23.5,15.4,CENTENNIAL 
CENTENNIAL 3,4400,5374,1781,11555,38.08,46.51,15.41,-974,-8.43,53.5,21.7,54.0,55.6,45.9,22.5,23.2,15.1,CENTENNIAL 
CENTRL BUCKS 1,12593,13548,6439,32580,38.65,41.58,19.76,-955,-2.93,52.6,20.2,52.4,54.9,48.3,20.3,22.4,15.7,CENTRL BUCKS 
CENTRL BUCKS 2,12582,13953,6022,32557,38.65,42.86,18.5,-1371,-4.21,53.6,21.0,53.3,55.9,48.7,21.1,23.2,15.8,CENTRL BUCKS 
CENTRL BUCKS 3,11526,12740,5338,29604,38.93,43.03,18.03,-1214,-4.1,51.6,20.0,51.1,54.2,46.4,19.9,22.2,14.8,CENTRL BUCKS 
COUNCIL ROCK 1,3047,2860,1452,7359,41.41,38.86,19.73,187,2.54,54.3,20.8,54.2,56.8,49.9,21.2,22.9,15.8,COUNCIL ROCK 
COUNCIL ROCK 2,2895,2687,1442,7024,41.22,38.25,20.53,208,2.96,52.9,20.0,52.4,55.6,48.9,20.6,22.1,15.1,COUNCIL ROCK 
COUNCIL ROCK 3,2240,2524,819,5583,40.12,45.21,14.67,-284,-5.09,54.3,22.1,54.6,55.9,49.0,22.9,23.1,16.6,COUNCIL ROCK 
COUNCIL ROCK 4,2209,3535,1006,6750,32.73,52.37,14.9,-1326,-19.64,52.8,21.9,52.3,55.0,46.0,22.1,23.4,15.7,COUNCIL ROCK 
COUNCIL ROCK 5,2163,2563,1031,5757,37.57,44.52,17.91,-400,-6.95,51.7,20.7,51.2,54.2,46.6,21.4,22.3,15.4,COUNCIL ROCK 
COUNCIL ROCK 6,2251,3810,1176,7237,31.1,52.65,16.25,-1559,-21.54,52.0,20.7,51.5,53.7,47.5,20.8,22.3,15.0,COUNCIL ROCK 
COUNCIL ROCK 7,1964,2825,925,5714,34.37,49.44,16.19,-861,-15.07,53.8,21.6,53.1,55.7,49.5,22.3,22.8,16.5,COUNCIL ROCK 
COUNCIL ROCK 8,2768,3451,1505,7724,35.84,44.68,19.48,-683,-8.84,54.3,20.0,54.1,56.1,50.7,19.6,22.2,15.6,COUNCIL ROCK 
COUNCIL ROCK 9,2317,2652,1219,6188,37.44,42.86,19.7,-335,-5.41,51.8,20.3,51.3,54.3,47.4,20.2,22.7,15.3,COUNCIL ROCK 
MORRISVILLE ,3247,1705,1343,6295,51.58,27.08,21.33,1542,24.5,50.2,17.8,50.7,53.1,45.2,18.3,20.4,13.2,MORRISVILLE 
NESHAMINY 1,5695,7409,2720,15824,35.99,46.82,17.19,-1714,-10.83,52.3,20.4,52.9,54.1,46.2,21.6,21.7,14.5,NESHAMINY 
NESHAMINY 2,5328,5210,2065,12603,42.28,41.34,16.38,118,0.94,51.1,21.7,52.0,52.4,45.2,22.9,22.7,15.9,NESHAMINY 
NESHAMINY 3,10475,9645,4247,24367,42.99,39.58,17.43,830,3.41,54.0,21.5,54.8,55.4,48.9,22.0,23.5,15.6,NESHAMINY 
NEW HOPE,4785,3286,2193,10264,46.62,32.01,21.37,1499,14.6,55.5,18.5,55.5,57.8,52.0,18.8,21.2,14.0,NEW HOPE
PALISADES 1,1551,1986,851,4388,35.35,45.26,19.39,-435,-9.91,56.9,21.4,58.2,57.5,53.1,21.7,23.2,16.7,PALISADES 
PALISADES 2,1298,2339,789,4426,29.33,52.85,17.83,-1041,-23.52,54.9,21.5,55.8,56.3,49.2,22.0,23.1,16.1,PALISADES 
PALISADES 3,1294,2106,763,4163,31.08,50.59,18.33,-812,-19.51,55.5,22.2,56.7,56.9,49.7,22.9,23.6,17.2,PALISADES 
PENNRIDGE,12705,19751,7098,39554,32.12,49.93,17.95,-7046,-17.81,51.9,20.8,52.0,53.7,46.8,21.0,22.4,16.0,PENNRIDGE
PENNSBURY 1,8784,7477,4452,20713,42.41,36.1,21.49,1307,6.31,52.9,20.1,52.5,55.4,49.7,20.3,22.6,15.4,PENNSBURY 
PENNSBURY 2,7937,5321,3080,16338,48.58,32.57,18.85,2616,16.01,50.2,19.5,51.6,51.6,44.1,21.0,20.7,13.8,PENNSBURY 
PENNSBURY 3,8269,6408,3623,18300,45.19,35.02,19.8,1861,10.17,51.7,20.4,51.9,53.8,47.7,21.0,22.3,15.7,PENNSBURY 
QUAKERTOWN 1,3303,5086,1842,10231,32.28,49.71,18.0,-1783,-17.43,52.3,20.2,52.3,53.9,47.5,20.4,21.8,15.5,QUAKERTOWN 
QUAKERTOWN 2,2521,4352,1448,8321,30.3,52.3,17.4,-1831,-22.0,52.7,20.9,53.3,54.1,47.5,21.4,22.1,16.0,QUAKERTOWN 
QUAKERTOWN 3,3050,3841,1759,8650,35.26,44.4,20.34,-791,-9.14,50.1,19.1,50.0,52.3,45.5,19.3,20.8,14.9,QUAKERTOWN 
SOUDERTON,566,806,287,1659,34.12,48.58,17.3,-240,-14.47,58.3,21.6,59.0,60.4,51.1,22.5,23.0,16.1,SOUDERTON
