school_district,D_to_Oth,D_to_R,Oth_to_D,Oth_to_R,R_to_D,R_to_Oth,total_switch,D_gain,D_loss,R_gain,R_loss,Oth_gain,Oth_loss,D,R,Oth,D_net,R_net,Oth_net,D_flip_pct,R_flip_pct,Oth_flip_pct,district_name
BENSALEM TWP SCHOOL,173,243,139,101,108,85,849,247,416,344,193,258,240,18033,16717,7209,-169,151,18,2.31,1.15,3.33,BENSALEM TWP SCHOOL
BRISTOL BORO SCHOOL,30,40,38,21,27,11,167,65,70,61,38,41,59,4220,1905,1104,-5,23,-18,1.66,1.99,5.34,BRISTOL BORO SCHOOL
BRISTOL TWP SCHOOL,136,213,118,112,68,62,709,186,349,325,130,198,230,17845,12514,6734,-163,195,-32,1.96,1.04,3.42,BRISTOL TWP SCHOOL
CENTENNIAL 1,44,80,36,45,33,54,292,69,124,125,87,98,81,4063,5957,1761,-55,38,17,3.05,1.46,4.6,CENTENNIAL 
CENTENNIAL 2,67,101,52,63,71,55,409,123,168,164,126,122,115,5719,5993,2073,-45,38,7,2.94,2.1,5.55,CENTENNIAL 
CENTENNIAL 3,45,78,49,51,60,44,327,109,123,129,104,89,100,4400,5374,1781,-14,25,-11,2.8,1.94,5.61,CENTENNIAL 
CENTRL BUCKS 1,256,134,220,185,149,221,1165,369,390,319,370,477,405,12593,13548,6439,-21,-51,72,3.1,2.73,6.29,CENTRL BUCKS 
CENTRL BUCKS 2,236,154,202,150,161,168,1071,363,390,304,329,404,352,12582,13953,6022,-27,-25,52,3.1,2.36,5.85,CENTRL BUCKS 
CENTRL BUCKS 3,179,169,191,159,155,165,1018,346,348,328,320,344,350,11526,12740,5338,-2,8,-6,3.02,2.51,6.56,CENTRL BUCKS 
COUNCIL ROCK 1,38,25,24,29,31,32,179,55,63,54,63,70,53,3047,2860,1452,-8,-9,17,2.07,2.2,3.65,COUNCIL ROCK 
COUNCIL ROCK 2,26,16,33,20,28,13,136,61,42,36,41,39,53,2895,2687,1442,19,-5,-14,1.45,1.53,3.68,COUNCIL ROCK 
COUNCIL ROCK 3,19,32,26,23,22,22,144,48,51,55,44,41,49,2240,2524,819,-3,11,-8,2.28,1.74,5.98,COUNCIL ROCK 
COUNCIL ROCK 4,22,47,26,30,24,26,175,50,69,77,50,48,56,2209,3535,1006,-19,27,-8,3.12,1.41,5.57,COUNCIL ROCK 
COUNCIL ROCK 5,28,35,17,14,24,22,140,41,63,49,46,50,31,2163,2563,1031,-22,3,19,2.91,1.79,3.01,COUNCIL ROCK 
COUNCIL ROCK 6,22,57,30,39,29,29,206,59,79,96,58,51,69,2251,3810,1176,-20,38,-18,3.51,1.52,5.87,COUNCIL ROCK 
COUNCIL ROCK 7,19,34,22,19,23,21,138,45,53,53,44,40,41,1964,2825,925,-8,9,-1,2.7,1.56,4.43,COUNCIL ROCK 
COUNCIL ROCK 8,27,18,39,32,30,35,181,69,45,50,65,62,71,2768,3451,1505,24,-15,-9,1.63,1.88,4.72,COUNCIL ROCK 
COUNCIL ROCK 9,18,21,19,26,21,30,135,40,39,47,51,48,45,2317,2652,1219,1,-4,3,1.68,1.92,3.69,COUNCIL ROCK 
MORRISVILLE ,24,26,20,13,20,10,113,40,50,39,30,34,33,3247,1705,1343,-10,9,1,1.54,1.76,2.46,MORRISVILLE 
NESHAMINY 1,54,89,51,47,51,53,345,102,143,136,104,107,98,5695,7409,2720,-41,32,9,2.51,1.4,3.6,NESHAMINY 
NESHAMINY 2,51,63,46,34,39,33,266,85,114,97,72,84,80,5328,5210,2065,-29,25,4,2.14,1.38,3.87,NESHAMINY 
NESHAMINY 3,98,104,105,63,65,52,487,170,202,167,117,150,168,10475,9645,4247,-32,50,-18,1.93,1.21,3.96,NESHAMINY 
NEW HOPE,71,38,98,44,32,58,341,130,109,82,90,129,142,4785,3286,2193,21,-8,-13,2.28,2.74,6.48,NEW HOPE
PALISADES 1,32,23,24,25,17,22,143,41,55,48,39,54,49,1551,1986,851,-14,9,5,3.55,1.96,5.76,PALISADES 
PALISADES 2,19,19,29,22,10,20,119,39,38,41,30,39,51,1298,2339,789,1,11,-12,2.93,1.28,6.46,PALISADES 
PALISADES 3,18,12,16,22,14,24,106,30,30,34,38,42,38,1294,2106,763,0,-4,4,2.32,1.8,4.98,PALISADES 
PENNRIDGE,231,190,227,259,177,234,1318,404,421,449,411,465,486,12705,19751,7098,-17,38,-21,3.31,2.08,6.85,PENNRIDGE
PENNSBURY 1,110,55,94,41,68,53,421,162,165,96,121,163,135,8784,7477,4452,-3,-25,28,1.88,1.62,3.03,PENNSBURY 
PENNSBURY 2,60,87,65,60,44,24,340,109,147,147,68,84,125,7937,5321,3080,-38,79,-41,1.85,1.28,4.06,PENNSBURY 
PENNSBURY 3,81,82,67,46,41,38,355,108,163,128,79,119,113,8269,6408,3623,-55,49,6,1.97,1.23,3.12,PENNSBURY 
QUAKERTOWN 1,48,77,68,83,39,48,363,107,125,160,87,96,151,3303,5086,1842,-18,73,-55,3.78,1.71,8.2,QUAKERTOWN 
QUAKERTOWN 2,40,38,31,40,23,39,211,54,78,78,62,79,71,2521,4352,1448,-24,16,8,3.09,1.42,4.9,QUAKERTOWN 
QUAKERTOWN 3,43,54,64,49,28,43,281,92,97,103,71,86,113,3050,3841,1759,-5,32,-27,3.18,1.85,6.42,QUAKERTOWN 
SOUDERTON,3,8,1,6,6,3,27,7,11,14,9,6,7,566,806,287,-4,5,-1,1.94,1.12,2.44,SOUDERTON
