state_house,D,R,Oth,total_voters,D_pct,R_pct,Oth_pct,DvR,DvR_pct,avg_age_years,avg_tenure_years,avg_age_years_D,avg_age_years_R,avg_age_years_Oth,avg_tenure_years_D,avg_tenure_years_R,avg_tenure_years_Oth
STH018,18331,17064,7352,42747,42.88,39.92,17.2,1267,2.96,51.9,19.0,51.8,54.9,45.0,19.1,21.5,13.1
STH029,22583,20797,10668,54048,41.78,38.48,19.74,1786,3.3,53.9,20.4,53.7,56.4,49.5,20.4,22.8,15.5
STH031,23227,20984,11559,55770,41.65,37.63,20.73,2243,4.02,53.1,20.1,52.6,55.6,49.5,20.3,22.6,15.4
STH140,19704,14539,7796,42039,46.87,34.58,18.54,5165,12.29,50.6,20.1,51.7,52.2,44.9,21.3,21.5,14.6
STH141,22065,14419,7838,44322,49.78,32.53,17.68,7646,17.25,50.5,19.6,52.0,52.1,43.5,21.1,20.5,13.7
STH142,18865,20222,8144,47231,39.94,42.82,17.24,-1357,-2.87,53.3,21.1,53.9,54.9,47.9,21.9,22.7,15.3
STH143,17416,24246,9516,51178,34.03,47.38,18.59,-6830,-13.35,51.6,20.4,51.5,53.4,47.0,20.5,22.2,15.8
STH144,18908,21240,7960,48108,39.3,44.15,16.55,-2332,-4.85,54.0,20.9,54.4,56.1,47.4,21.4,22.8,14.9
STH145,14857,23546,8559,46962,31.64,50.14,18.23,-8689,-18.5,53.1,20.8,53.5,54.8,47.6,21.2,22.3,15.9
STH178,17687,25279,8204,51170,34.57,49.4,16.03,-7592,-14.84,53.3,21.4,53.2,55.3,47.6,21.8,23.0,15.7
