state_house,D_to_Oth,D_to_R,Oth_to_D,Oth_to_R,R_to_D,R_to_Oth,total_switch,D_gain,D_loss,R_gain,R_loss,Oth_gain,Oth_loss,D,R,Oth,D_net,R_net,Oth_net,D_flip_pct,R_flip_pct,Oth_flip_pct
STH018,179,245,145,109,109,88,875,254,424,354,197,267,254,18331,17064,7352,-170,157,13,2.31,1.15,3.45
STH029,409,207,397,270,236,323,1842,633,616,477,559,732,667,22583,20797,10668,17,-82,65,2.73,2.69,6.25
STH031,257,144,238,155,186,167,1147,424,401,299,353,424,393,23227,20984,11559,23,-54,31,1.73,1.68,3.4
STH140,166,226,150,124,123,80,869,273,392,350,203,246,274,19704,14539,7796,-119,147,-28,1.99,1.4,3.51
STH141,166,253,156,133,95,73,876,251,419,386,168,239,289,22065,14419,7838,-168,218,-50,1.9,1.17,3.69
STH142,176,236,190,124,145,127,998,335,412,360,272,303,314,18865,20222,8144,-77,88,-11,2.18,1.35,3.86
STH143,338,262,314,337,251,317,1819,565,600,599,568,655,651,17416,24246,9516,-35,31,4,3.45,2.34,6.84
STH144,240,312,244,222,244,226,1488,488,552,534,470,466,466,18908,21240,7960,-64,64,0,2.92,2.21,5.85
STH145,231,254,254,271,156,222,1388,410,485,525,378,453,525,14857,23546,8559,-75,147,-72,3.26,1.61,6.13
STH178,206,323,199,228,193,226,1375,392,529,551,419,432,427,17687,25279,8204,-137,132,5,2.99,1.66,5.2
