state_house,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct
STH018,18331,7352,17064,8557,1870,8177,46.68,47.92,25.44,42747,18604,43.52
STH029,22583,10668,20797,14895,4202,11630,65.96,55.92,39.39,54048,30727,56.85
STH031,23227,11559,20984,14932,4584,11327,64.29,53.98,39.66,55770,30843,55.3
STH140,19704,7796,14539,10202,2008,6373,51.78,43.83,25.76,42039,18583,44.2
STH141,22065,7838,14419,9834,1436,5192,44.57,36.01,18.32,44322,16462,37.14
STH142,18865,8144,20222,10682,2399,9998,56.62,49.44,29.46,47231,23079,48.86
STH143,17416,9516,24246,10867,3225,12897,62.4,53.19,33.89,51178,26989,52.74
STH144,18908,7960,21240,11066,2535,10655,58.53,50.16,31.85,48108,24256,50.42
STH145,14857,8559,23546,8621,2481,11388,58.03,48.36,28.99,46962,22490,47.89
STH178,17687,8204,25279,10668,2686,13243,60.32,52.39,32.74,51170,26597,51.98
